sentence,label
Opening pod bay doors.,doors.
Pod Bay is decompressed. All doors are secure. You are free to open pod bay doors.,doors.
"Hal, check all airlock doors secure.",secure.
Roger.,Roger.
"Hal, maintain normal E.V.A. condition.",condition.
I understand.,understand.
"Hal, I'm going out now to replace the A.O. unit.",unit.
"Five by five, Frank.",Frank.
Roger.,Roger.
"Hal, have pod arms secure the component.",component.
"Thank you very much, Hal.",Hal.
That's true.,true.
"There is no other purpose for this mission than to carry out a continuation of the space program, and to further our general knowledge of the planets. Is that true?",true?
That's true,TRUE
"Approximately five years after we go into hibernation, the recovery vehicle will make rendezous with us and bring us back. Is this true?",true?
That's true.,true.
That's true.,true.
Our transit time is 257 days. Is that true?,true?
True.,True.
Our Mission Profile calls for Discovery going to Saturn. True or false?,false?
"I will if I can, Frank.",Frank.
"Right. Hal, tell me whether the following statements are true or false.",false.
"Great, just great.",great.
That we do. And we put air in the tires. I'll even sell you some gas if you need it.,it.
How about chargin' the battery?,battery?
"We don't wash 'em, ya know.",know.
"Yeah, I've been busy.",busy.
This is three years old.,old.
Hammond.,Hammond.
Name?,Name?
I want to pick up my car.,car.
Yeah?,Yeah?
"Try obeyin' the law once in awhile, and I won't have to hassle you...",you...
"I'm tellin' ya, I'm giving you all I know.",know.
"Look, give me a break, you're going to have to settle for her place.  It's the only thing I know.",know.
I don't give a damn about his girl...,girl...
I don't give a shit who you ask.,ask.
"Maybe I better ask around, see what your pals think.",think.
Fuck off.  I don't know what the hell you're talkin' about.,about.
Now how's your memory doin'?,doin'?
"No, man, I think I'll have a vodka.",vodka.
Maybe you better have a Black Russian.,Russian.
Vodka.,Vodka.
Yeah.,Yeah.
"And I need one more for my pal. Yeah. Make her an Indian. No, not a turban, you know, a squaw.",squaw.
"Hey, what about me?",me?
"He's just kiddin', you just keep doin' what I tell ya, you'll be okay.",okay.
Maybe that's where I'm gonna cut your throat.,throat.
"Just do what I say, okay? We'll pay for the girls and have a good time... Don't you trust me?",me?
They always let me do anything. I don't want to pay for it.  I never paid for it in my life.,life.
It's better when you pay... they let you do anything.,anything.
I never paid for it in my life.,life.
"Yeah, dummy.  Money.",Money.
Pay money?,money?
Pros.,Pros.
"Whaddya mean, buy?",buy?
Maybe after we get done with him I'm gonna buy us some girls.,girls.
I ain't tired yet.,yet.
I want to drive awhile.,awhile.
"You got a real big mouth, convict.",convict.
"Maybe you shoulda stole a better truck, Tonto.",Tonto.
Now you're talkin'. See ya...,ya...
"I'll buy ya the best dinner in San Francisco...how'd that be? Then we'll go dancin', okay?",okay?
"Hey, no, I'm tryin' to be nice. Buy yourself something pretty. I'd do it, but I got to go.  I got this cop waitin' for me...",me...
"Hey, don't do that.  I said I wasn't a pro, remember?",remember?
"Here you go, baby.",baby.
"I just struck it rich... I think we can do a little business.  As a matter of fact, I think we can have a party.",party.
"Hello, again.",again.
"Here's hoping, baby...",baby...
"Well, maybe I'll see you later ...",...
"No, it's gotta be here and now. Believe me. Only I don't have the damn money for a room...",room...
What's the matter with my place?,place?
"No, baby, nothin' like that. Look, there's a place across the street. We can go right over there...",there...
You just quit bein' a priest or somethin'?,somethin'?
"Yeah, i been waiting three years.",years.
You're in a hurry.,hurry.
"Here you go sweetheart, throw it my way.",way.
"Hey, don't you think a hair stylists got any interest in gettin' it on?",on?
Goodbye.,Goodbye.
"No, I go to a school to learn how to do hair. It's a government program. But really I want to be a model - and I am definitely not sellin'.",sellin'.
Oh ... You're a schoolteacher...,schoolteacher...
"Hey, what kind of talk is that?",that?
"Excuse me, baby, but if i don't get some action tonight, I'm gonna bust.  You interested?",interested?
I'm candy...,candy...
In the back.  Down the other corridor.,corridor.
Where's ganz?,ganz?
"He can live or die ... You let us in and he's got a chance to make it.  Otherwise, he gets ventilated.",ventilated.
No chance.,chance.
You're gonna help us take him.,him.
"Yeah.  Sure, i'm crazy in love with him, who wouldn't be...",be...
"You and the other one, you're still Billy's girls. You always were his girls...",girls...
"No time for any of that crap any more, lady... I'll rip your lungs out if you don't answer fast.",fast.
Would you guys...,guys...
I hear you've got visitors.,visitors.
I used to go with him...I don't know where the hell he is.  I haven't seen him for two weeks. And I don't think I will.  He owes me money...,money...
How about it?,it?
Don't give me that police shit. You drop it.,it.
I said police.  Now drop the goddamn gun.,gun.
I ain't gonna beg for my life. It ain't cool.,cool.
You're done.  End of story.,story.
I got hit.  I can't believe it. I got shot.,shot.
Whaddya mean...I got your gun ... I got his money... I got everything...,everything...
I don't think you're gonna make it.,it.
"After I get outta this, cop...I'm gonna live forever...",forever...
What are you talking about? We didn't kill her ...,...
You lying son of a bitch...,bitch...
"No trouble, Jack. But, listen, suppose I stay a crook?  Where'd you get the idea that you could catch me?",me?
Thanks.,Thanks.
Spare met Jack. I'm into legit investments from here on in.,in.
"No, you don't. If I ever get word of you steppin' over the line again, I'm gonna ventilate that suit of yours.",yours.
You are an awesomely weird cop. Sure wish there were more like you runnin' around out here.,here.
"That's right. Not my style, Reggie..",Reggie..
And you're tellin' me you don't want any of this cash?,cash?
It's your money.  It'll be here in six months when you get out.,out.
There's nothin' to talk about.,about.
"Wait a minute, Cates.  I've been waitin' three years for that.  I don't think it's fair, man. What about the merit system.? You were gonnna give me a few thousand.",thousand.
"Hey, Jack, real men don't have to go in for that macho bullshit ... but I was fantastic.",fantastic.
"Okay, reggie, start bustin' my chops... Tell me how great you were with that chick.",chick.
You did pick a real strange time to go and be brave all on your own...,own...
Yeah.  But I wasn't there for a second.,second.
You okay?,okay?
"Well, you got to admit we come a long way.",way.
Partnership?,Partnership?
"Yeah, and I know Ganz sure ain't no sweetheart... I wouldn't like it if this partnership ended before it gets started.",started.
"Sure, I'll give you a shot at it, but Ganz is mine.  You know, that big Indian plays it for keeps...",keeps...
"If we run into Billy first, let me try and talk him in.",in.
Whatever play I maker just back me up.,up.
"Hey, there she is...",is...
"I've got to play it rough with them. If they know anything, I'm gonna know it.",it.
"What if your girl's theory turns out to be bullshit?  I mean, they could be in Rio de Janeiro.",Janeiro.
"If she's right, and if you don't screw up.",up.
Do I get to kiss her too?,too?
"Yeah, too bad.  They were real nice lookin' too...In bed together, hardly any clothes one watching TV...",TV...
"Yeah, well the only woman of the Indian's we ran into was shacked up with her dyke girlfriend.  I guess she went with him before she came outta the Closet ... They both looked mad enough to kill him...",him...
Don't worry about it.,it.
"It's late, they're closing...",closing...
"Yeah, but we didn't get 'em.",em.
"Naw, you didn't let me down.  It was a long shot all the way.  We gave 'em a good run at it.",it.
"Sorry we didn't do better, Jack. I feel like I let you down.",down.
"I don't know about you, but I could use a drink... I'll buy you one.  It'll be my good-bye present.",present.
Back to jail in my own car.  Ganz got away. Got all my money. It just don't seem right.,right.
"I had it impounded.  Come on, we'll use it for haulin' you back to the slam.",slam.
"Hey, how'd my car get here?",here?
Yeah. It missed the last four stops.,stops.
Notice something funny about that bus?,bus?
Luther's on the move...,move...
Why?,Why?
"When you been in prison three years, it don't take long. Let's go.",go.
That was quick.,quick.
I can just take her right across the street to Luther's hotel.  All I need is some money for the room.,room.
"Yeah, I see her.",her.
Yeah. Guess not.,not.
"Bein' good at your job don't explain everything, Jack ...",...
"Thanks for callin' in... and I guess Maybe... Look, I'm sorry I called you Watermellon nigger... those kinds of things. I was just leanin' on ya, doin' my job.",job.
You sure that's the reason?,reason?
"I don't know why, but I'm going to let you keep it. Maybe because you told me you had it, or maybe just because I'm too tired to argue...",argue...
Forget it. I want Ganz as bad as you do and I got some other news for you...,you...
Tell me something.  Why didn't you just take the money off Luther and split?,split?
So you took the rest of the night off...,off...
"They must have set up a meeting for the morning; Luther left an 8 am wake-up and put up the ""Don't Disturb"" sign.  He's trading his girl for the money.  All we have to do to grab Ganz is not go blind.",blind.
Let him get some sleep.  He's going to need it.,it.
Maybe we should pay Luther a visit.,visit.
You missed ... Luther took a taxi to the hotel across the street. Made a phone call.,call.
We missed.,missed.
What about Ganz?,Ganz?
What about Luther?,Luther?
Hello. And goodbye.,goodbye.
Be polite. Say hello.  This is Candy.,Candy.
Where's luther?,luther?
"I'll be there in a minute. You don't move your ass, right?",right?
"Hey, Jack, how ya doin'? What took you so long to call, man? I been waitin' ... I'm at Vroman's up in the Fillmore. Yeah, Vroman's... 'Course you don't hang out here; it's for the brothers.",brothers.
No way...,way...
You stay with me...,me...
Bullshit. Then i'm staying with the money.,money.
"Right. if you ever switch from armed robbery to pimping, then you're all set.",set.
"That was in style a couple years back, man.",man.
"Yeah, most cops are pretty dumb... But since you're the one that landed in jail what's that make you?",you?
"We're getting too close ... Cates, what's the matter, you been takin' dumb pills?",pills?
"Class isn't somethin' you buy, punk. Look at you, five hundred dollar suit and you're still a lowlife.",lowlife.
No class...,class...
"What you don't understand is, I don't give a damn about how this thing looks.",looks.
"You know, I'd be embarrassed if I let my wheels go the way you've done with this job.",job.
"Yeah, it doesn't look like he's gonna make it as a dangerous tough guy...",guy...
A long time agb Luther must of got the shit beat out of him so bad it just rattled his brain ... that would account for him making so many wrong moves in a row...,row...
"If he's hoping that then he's dumber than I think he is, which would be amazin', cause I already think he's real dumb.",dumb.
Maybe Luther hopes Ganz'll give him a piece of your money...,money...
"You got a very depressing view of life, man... you gotta smile once in awhile...",awhile...
I'm not in this 'cause it's fun. I'm not into hitting guys 'cause it makes me feel good either... I do it 'cause it works-...,works-...
Doesn't it get... Tiring?,Tiring?
If they don't tell me what I need to know...,know...
"Say, do you always work people over like you did Luther?",Luther?
That ain't philosophy.  That's common sense.,sense.
"I let women get to me.  The quest for pussy is the meaning of life ... I got my own personal philosophy about 'em.  Keep women separate from guns, money and business ... women are for spending money.  They got nothing to do with helping you make it.",it.
I suppose you'd never be like Luther and let a woman get to you...,you...
"Oh, yeah, does bein' in love make you stupid?",stupid?
I'm tellin' you the man's in love... he wants to be a hero for his girl.,girl.
"If I was his size and had Ganz on my ass, I'd  just leave town.",town.
"Tryin' to save his girl, man. He's in another world.",world.
You'd think the guy'd be smart enough to know he was being tailed.,tailed.
I had no choice. Some white asshole bought the last piece of shit skyblue Cadillac.,Cadillac.
Didn't know you darker people went in for foreign jobs.,jobs.
"Jesus Christ, look at all the dust on my car...why in the hell don't he take it to a car wash?",wash?
Jesus Christ.  That's a disgrace The guy pulls a gun on a cop and he's out in 24 hours.  I tell you some of the courts these days are just a fucking revolving door.,door.
Musta got some primo bondsman.,bondsman.
What?,What?
Guess what?  Luther just got in line.,line.
Not really.  I figured Ganz was put down for a long time.  And I knew Luther would never job me on his own.  He's too chickenshit.,chickenshit.
"You took a big chance, leaving this here all this time.",time.
Shit.,Shit.
"I wasn't sure the money was still there until we saw Luther. You almost got your ass shot off for nothing once, not twice, Jack.",Jack.
You son of a bitch. You knew where the money was all along and all we had to do was come here and wait. I almost got my ass blown off twice tonight for nothing.,nothing.
You just drove by it.,it.
...For three years?  Let's hope it wasn't a tow-away zone.,zone.
This'll show you how smart I am. I got it parked.,parked.
"You're a real case, you know that, Jack?",Jack?
Where's the goddamn car?,car?
Yeah.  Right.,Right.
"Get this. We ain't partners. We ain't brothers. We ain't friends. If Ganz gets away with my money, you're gonna be sorry we ever met.",met.
"Right, partner.",partner.
"In the trunk of a car.  A lot better than under a mattress, right?",right?
Where's the money?,money?
Depends on how things work out. I believe in the merit system. So far you haven't built up any points.,points.
You gonna let me keep any of it?,it?
"Not likely, convict.",convict.
We split 50-50?,50-50?
"You catch on real fast...Okay, Jack, let's talk deal. How much of my money you gonna let me keep?",keep?
He's after your money.,money.
"Me and my bunch hit a dealer in the middle of a sale. It's the kind of money nobody ever reports stolen. I was sittin' pretty, livin' in the high cotton, then somebody fingered me for another job. ... Some psycho who's out there capping people with some cop's gun.",gun.
Just tell me about the money.,money.
Jesus.,Jesus.
Half a million.,million.
How much?,much?
I been waiting a long time for some money.,money.
"One thing's for sure, Jack. That's how you'll tell the story.",story.
"They saved your ass, convict.",convict.
"Naw, you'd just call your pals back to bail you out one more time.",time.
"Yeah, right.  You want to try again?",again?
Who gives a Goddamn what you think? You're just a crook that's got a weekendpass ... You're not even a name anymore. Just a spear- chucker with a Goddamn number stenciled on the back of his prison fatigues...,fatigues...
Maybe I don't like the way you ask.,ask.
Luther knew more than he told me and so do you...Now you better tell we what the fuck this is all about.  I gave you 48 hours to come up with something and the clock's runnin' ...,...
"I'm impressed with you too, Jack you did a real good job of busting up a couple of dykes bedded down for the night.",night.
"You?  Don't make me laugh.  You can't take care of shit.  You've been dicking me around since we started on this turd-hunt.  All you're good for is games... So far, what I got outta you is nothin'...",nothin'...
"You wanna leave, man?  Let me take care of Ganz all by myself.",myself.
"This sucks.  A maniac gets hold of my gun and goes all over the streets killing people with it. So, instead of me being where I oughta be, which is in bed giving my girl the high, hard one, I'm out here doing this shit, roaming around with some overdressed, charcoal-colored loser like you.",you.
Wait a minute.  Maybe these ladies would like to go a few laps with us.  How about it? I been nearly three years in prison and...,and...
Let's go.,go.
Come on.,on.
Must be billy's girl.,girl.
There.,There.
"While you're at it, You can give me the switchblade, too.",too.
"You made that move, huh?",huh?
"Some of us citizens are with you all the way, Officer.",Officer.
"That wasn't necessary, buddy. I got this under control.",control.
My kind of place. I always liked country boys.,boys.
This place don't seem real popular with the brothers.,brothers.
I thought you said bullshit and experience are all it takes.,takes.
"I'm gonna enjoy this ... here, I'll even loan you my badge.",badge.
The bet's off.,off.
I don't know what you're talking about. I just wanna see Ganz nailed.,nailed.
"You tell me what Ganz busted out for, he's after a lot more than just gettin' out of jail.  And whatever it is, you're part of it.",it.
What are you talkin' about?,about?
I'll tell you what happens if you lose... you tell the truth for once.,once.
That's never been one of my problems.,problems.
Why?  Anybody that talks about women as much as you do probably can't get it up anyway.,anyway.
"If we come outta this joint with Ganz' phone number, or a dead Indian, or anything else useful, then you could turn the other way for half an hour while I get laid...",laid...
"I got two problems.  Number one, I'm not playin' games.  Number two, you got nothin' to bet with.",with.
"Hey, you wanna bet?",bet?
You need five years training to handle a joint like...,like...
I been in a lot of bars where a white cop rousted me and some of the brothers. All those clowns ever had going for 'em was a gun and a badge...,badge...
Bullshit.  Attitude and experience get you through...,through...
"But you can handle it all right, huh? Real amazin' how far a gun and a badge can carry some cats...",cats...
"If they kick my ass, they'll sure as hell carve yours up...",up...
Back you up?  Now why would I wanna do that?,that?
"This part of town, they'll make us for heat the second we walk in. Just back me up like you've got a piece...",piece...
"It's a long shot, but...Billy used to tend bar here a few years back. I heard him talk about it.",it.
Well?,Well?
At least you took care of business and got the important part in before she came down on you...Tell me a little about her.  She got great tits?,tits?
Sure.  Then we had a fight this morning.,morning.
You have a good time?,time?
Last night.,night.
"Last night, two nights ago, three?",three?
I don't give out the details.,details.
Mission District.  Gonna find us an Indian.,Indian.
"Now, where we goin', convict?",convict?
"She's got the same complaint as half the Goddamn population.  She can't get the job she's trained for and it pisses her off... Anyway, what the fuck do you care?",care?
"You really do have onoe, huh, Jack... what's her problem besides you?",you?
Just get in the car and keep your mouth shut.,shut.
Who'd you call on the phone back at the booking station?,station?
"Yeah, I want mandolins, flowers... They move off down the corridor.",corridor.
"Yeah, I'm hungry too. I know of a place. Let's go eat.",eat.
"Bullshit ... I ain't moving  till I get something to eat. You've been treating me like shit ever since I came out here.  If you don't like it, you can take me back to the penitentiary and kiss my hungry black ass good-bye.  And I want some food some place nice.. Some good people, nice music...",music...
We eat when I say we eat.,eat.
Speakin' of moans my Stomach is startin' to growl.,growl.
"Yeah, well, my ass bleeds for you. And I didn't get you out so you could go on a Goddamn ""trim"" hunt... stop moaning.",moaning.
Do you know how close I was to getting some trim.  And you fucked' it up.,up.
We're on the move. Let's go. As they walk toward a corridor.,corridor.
"If you let him run around till Tuesday, he's gonna run right to Ganz and warn him. Ain't you, motherfucker?",motherfucker?
He's gotta take that call ... if there is one.,one.
"I think you better put him on ice, man.",man.
What do you think?,think?
Want to try it again?,again?
Thank you.,you.
"Hey, this works pretty good.",good.
Just throw me the Goddamn gun.,gun.
I got a whole thing about people pointin' guns at me.,me.
I'm tellin' you to drop the Goddam gun.,gun.
"Quit playin' cop and undo this cuff, Jack, I need to talk to this man.",man.
"I'm helpin' you, huh?",huh?
"Luther ain't the reliable type. I don't want you shot yet, Cates ... not before you been a help to me.",me.
Your pal nuts enough to take a shot at me?,me?
"Just up the street, the other side, over there ... Now, don't bother knockin' on the door. Luther ain't the kind of guy that looks for company.",company.
I may call you worse than that.,that.
Then what're you complainin' about? At least nobody's calling you shithead....,shithead....
I don't give a damn.  It happens to be my name.,name.
"Just an expression man, don't mean nothin'.",nothin'.
"I can read a police file, shithead, and quit calling me Jack.",Jack.
"What gang you talkin' about, Jack?",Jack?
Luther was part of the gang?,gang?
"Don't worry, I got a move for ya. An awesome move. A guy named Luther. Ganz'll be paying him a visit.  We go to him right away.",away.
"Okay, let's get down to it.  I did my part and got you out.  So now you tell me where we're goin'?",goin'?
It looks like you bought it off one of the brothers.,brothers.
Yeah.,Yeah.
Shit.  I'm already sorry.,sorry.
"Get this.  We ain't partners. We ain't brothers.  We ain't friends. I'm puttin' you down and keepin' you down until Ganz is locked up or dead.  And if Ganz gets away, you're gonna be sorry we ever met.",met.
No way to start a partnership.,partnership.
"You just don't get it, do your Reggie?  There isn't any deal. I own your ass.",ass.
"Hey, no way.  Take off the bracelets or no deal.",deal.
You got a girl... shit... the generosityof women never ceases to amaze me.,me.
I don't need to hear your jive. I already got that department taken care of...,of...
"Listen, it may be a little out of date. You know, I got a reputation for lookingreal sharp with the ladies...",ladies...
"We're supposed to be after a killer, not a string of hookers...",hookers...
What are you talkin' about?  This suit's mine.  It cost $900.,$900.00
This prison gives out $400 suits?,suits?
I'll think about it.,it.
It's the only way you're gonna get Ganz.,Ganz.
Bullshit.,Bullshit.
I got a lot to protect.,protect.
What's the big deal about you bein' on the street?,street?
"I can help you, man, but you gotta get me out.  I got to be on the street.  Get me outta here.",here.
You're crazy.,crazy.
I can deliver Ganz.  But you gotta get me outta here first.,first.
Yeah?,Yeah?
Didn't work out that way.  He busted out with a big Indian. They capped two guards on a road gang. Nice meeting you Reggie.,Reggie.
Ganz is in jail.  He's gonna be there two years after I'm on the street.,street.
"Yeah, I noticed...",noticed...
"Not likely, Reggie.  Maybe I just need some help.",help.
You here to write my life story?,story?
"Sure, anything you want.",want.
"Try Cates.  And let's talk in private, okay?",okay?
"You got a name, cop?",cop?
I'm taking my prisoner back to jail.,jail.
Where the Christ do you think you're going?,going?
"Just cause you say it with conviction don't mean shit to me... How you gonna take to a pink slip, huh?.",huh?.
He's got more brains and more guts in one corner of his asshole than any cop I've worked with.,with.
"Too bad, it would've covered your ass.  Now you're in the shit and so's the department. In case you haven't noticed, this wasn't our finest hour... I told you everyone was watchin' on this one. Maybe you better start thinkin' about writin' tickets off a three wheel bike.",bike.
I didn't have the time.,time.
Don't duck the bullet Cates. Why didn't you call in for backup instead of makin' a grandstand play?,play?
"Right.  I screwed up.  I fucked up. I messed up.  Anybody could have done better, especially you. I bet you're real good at hitting targets through crowds.",crowds.
What a screw-up.,screw-up.
You couldn't get to him?,him?
The Indian.  I was about 30 yards away.,away.
Which one pulled the trigger?,trigger?
They ran.  As fast as they could. Caught a train.,train.
How did they get away?,away?
"I lost them, that's what happened.",happened.
What the bell happened?,happened?
I'll keep it in mind.,mind.
Try not to get your ass shot to pieces. We got enough dead cops on this one.,one.
Yeah?,Yeah?
Jack?,Jack?
You really know how to send a guy out with a great attitude. He starts to go.,go.
"Okay.  You're not a team player. You gotta do things your own way. Fine.  Nail this guy and make us all look good.  But you better watch your ass.  If you screw up, I can promise you, you're goin' down.",down.
"Being a hot dog's worked pretty well for me so far... Besides, I got a lead...",lead...
"You might be more of a team player and a little less of a hot dog on this one, Jack.",Jack.
Yeah.  It bothers me when cops get hurt while I'm makin' a play. I don't like it.,it.
Anthing botherin' you besides losin' your gun?,gun?
Yeah...,Yeah...
"Jack, come on, there is an official department policy about cop killings. Cop killers represent a special priority because any man crazy enough to kill a cop is a greater threat to an unarmed civilian... In other words, we can't seen like we're in the revenge business... I know, we all know the truth's a little different.",different.
"Hey, the bastard's got my gun.  I want it back.",back.
"Yeah, I read the report...",report...
I want to be left alone on this one. Algren was killed with my gun.,gun.
I guess when two cops die on account of your fuck up you want to keep it as quiet as possible...,possible...
"Are you gonna tell me about police procedure?  Do me a favor, don't give me a bunch of crap.",crap.
"Somebody steals your gun, you're supposed to file a report.",report.
"The truth hurts, doesn't it, buddy?",buddy?
But that's what you say about all of us all the tine ... we're always the ones fucking up when you tell it...,it...
Yeah.,Yeah.
"That's what you say, Cates...",Cates...
I'm not paid to take your personal calls.  He was in some bar. .. off duty.,duty.
Jesus Christ.  Why the hell didn't you tell me before?,before?
What?,What?
I almost forgot.  That pal of yours from the Vice Squad wants you to call him.,him.
"Okay.  See you in the morning... you know, you ought to get some rest...",rest...
I got to wait for a call.,call.
I'm heading out. How about you?,you?
Bullshit red tape.,tape.
Nothing.,Nothing.
Nothing came in for me yet?  No calls?,calls?
Doesn't look like it.,it.
"Aw, bullshit, you heard wrong.",wrong.
"Long night, too, from what I heard ... Word's going around that in addition to losing Ganz for the second time, and in addition to Haden busting you back to Patrolman, some jig beat the crap out of you.",you.
So do you...been a long day.,day.
You look awful.,awful.
One of  em's in the slam.,slam.
Here's the file. Cates checks the file.,file.
I think I wanna have a discussion about it with any of the ones still walking.  Can we find them?,them?
Hey ... Dick Tracy.,Tracy.
Tell me that's not the same guy.,guy.
"Uhh ... Wong, Henry Wong.  He was in on the same job.",job.
"Wait a minute, wait a minute... who's this?",this?
They all pulled a bunch of jobs with Ganz about four years ago.,ago.
Who are all these?,these?
Backup man from the East Bay. Worked with Ganz a few years ago and sprung him from the road gang.,gang.
Billy Bear...,Bear...
Shit.,Shit.
"This guy must have had a .44 like yours, Jack. Now he's got yours.",yours.
I'll help you out.,out.
Every last bit of it.  The big guy's room was empty.,empty.
Is that what this guy Ganz had in the hotel?,hotel?
I dunno ... he's gonna call me...,me...
When? How?,How?
He ... he wants me to help him skip town.,town.
I don't know.,know.
"I think I met her.  Now tell us something we don't know, like where they stashed her.",her.
"Ganz and Billy got my girl, Rosalie.",Rosalie.
Who gives a fuck what you think?,think?
"You just took a shot at me, asshole. I think you do know where he is.",is.
Haven't seen him for years. That's the truth.,truth.
I sure ain't his fairy godmother... now I'm looking for Ganz...where is he?,he?
A cop...,cop...
That's what I always say.,say.
You're impossible...,impossible...
He's takin' care of the same business I'll be takin' care of - soon as I dry off.,off.
Tell me.,me.
"Promised I'd turn my back while he... ah, never mind...",mind...
Where is he?,he?
Three more hours...,hours...
"Yeah, bein' a hard-ass all the time is a real drag, but it works.",works.
I've been waiting a long time to hear you say that.,that.
"Usual bullshit.  You make one smart move and everybody wants to be your friend... You know somethin', shootin' guys sucks. Especially compared to this.",this.
How'd they take it back at headquarters?,headquarters?
"Let's go, Reggie.",Reggie.
What do I know?  I'm just a bartender.,bartender.
Whaddya think?,think?
"Oh, yeah, well look where you came when you were down and out.",out.
"Hey, Come on, shrink time's over. They wouldn't go see some old girlfriend.",girlfriend.
"When a guy hurts you, then comes back bleeding on his hands and knees, who knows, he might just be irrestible.",irrestible.
So what?,what?
"It might pay to reexamine a few of your more primitive notions.  I was in bed with a girlfriend watching TV last week, Jack, and one thing we know about me is I happen not to be a lesbian ... Now, if this Indian's girlfriend got upset when you came looking for him, it could just be she's still vulnerable to him.",him.
"Come on, they were a little old for a slumber party.",party.
"What makes you think they were lesbians, or as you so quaintly put it, dykes?",dykes?
"Jack, it's all over the papers. He's an obvious type.  But this Indian...",Indian...
How do you know?,know?
Ganz is going to be hard to track. Just a pure schizo ... wires all crossed... totally without any pattern... kill anybody... The Indian... himself... anybody...,anybody...
Nothing.  No sign of Ganz.  No sign of the Indian.  Airport's clean.  Train station. Bus station.  Docks... Shit...,Shit...
"I've been better...Dead end.  No Ganz, no Indian.",Indian.
You real down?,down?
We and my pal here have been taking it on the chin for the last few hours...,hours...
"I can see that.  Pardon me for saying so, but you look like shit.  What happened?",happened?
Don't.  We've had a hard night.,night.
I ought to have you and your friend thrown out...,out...
"Hiya, kid.",kid.
"Hey, I don't believe it.",it.
Fuck you.,you.
"Hi, it's me...",me...
Hello.,Hello.
"Just a second, that's all!",all!
"Jack, wait...",wait...
"Elaine, I gotta put you on hold...",hold...
Jack?  What was that?,that?
The number ... what's the Goddamn number?,number?
So am I.,I.
"No, it's I'm just surprised you called.",called.
No wonder you're so popular.,popular.
Elaine! I... I'm sorry... I was expecting somebody else... police business.,business.
"I'm at work, asshole.  Where else?",else?
This is not the way people who care for each other are supposed to behave.,behave.
"Listen, Goddamn it if you think I'm happy about it, you're nuts. I just gotta take care of a few things, okay?",okay?
"Elaine, look, I'm in the middle of sone stuff right now... I'm not gonna have time to come by. I don't know when I can get there.",there.
Just one.  Some lady called.  Said she's a little hot-headed sometimes... But she still wants her occasional roommate. She'd like to talk it over after she gets off work tonight... if it's humanly possible....,possible....
"I get that. The job first. Everything else, especially me, second. I get it. I don't like it.",it.
That's right.  I'm not like you. I'm not gonna sit on my ass wondering what's right and what's wrong... There's a psycho out there killing people with my gun and I'm gonna get him.  Because it's my job. And if you don't get that...,that...
Here it comes again ... the sacred job...,job...
"I didn't get burned, two cops did. Listen, I'll tell you about personnel responsibility.  I like to get the job done right.  And if I don't get my job done right... I'm for shit.",shit.
"Look, Jack, if you make everything your personal responsibility, you'll turn into a bad cop.  It's not a practical way to function...",function...
"Bullshit?  I'll tell you about bullshit.  My gun's a real weapon in the hands of a real maniac who knows how to use it.  It isn't my macho bullshit that's killing people, my gun is ...",...
"Look, spare me the macho bullshit about your gun...",gun...
"Sure, okay, fine, no problem... See, there's this kid in jail ... First thing I got to do is go up and see what he knows ...",...
"Jack, are you okay?",okay?
"Yeah, Guess it must have been a slow news day...",day...
You made the front page.,page.
"Yeah, one of my favorites.",favorites.
Great place for lunch.,lunch.
Guess people ought to know who I am...,am...
I think you forgot this. Hands him his wallet and badge...,badge...
Thanks for the coffee.,coffee.
"Yeah, for some reason, I'm sure...",sure...
You sure you want me to?,to?
Call me later.,later.
"That's the way I see it, too.",too.
"You know something, Jack, you really are hopeless.",hopeless.
I wish you'd stop trying to make me mad so I won't care for you... I wish you'd give me a little more of a chance.,chance.
What do you want to know?  What difference does it make?  I'm the guy in your bed the last three months.  I make you feel good. You make me feel good.  What the hell else do you want from a guy?,guy?
When you start with that attitude... it's like I don't know who you are.,are.
Maybe you don't know what the hell you're talking about.,about.
Maybe that makes a nice excuse.,excuse.
Maybe I got a fairly crummy day ahead.,ahead.
That's a fairly crummy way to start a morning.,morning.
Maybe I would if I knew when you were coming back.,back.
Maybe you ought to buy me one.,one.
What makes you think I have any clean shirts at my place?,place?
"You know, if you let me come over to your place once in a while, you could put on a clean shirt in the morning.",morning.
"I think you're ashamed to tend bar which is sad because you look great in that outfit they make you wear... You pull down four bills a week which is damn good, and you mix the best Pina Coladas I've ever had... I think that if you need bigger and better things ... then go for em.",em.
Tell me--I'm dyin' to hear it.,it.
"Hey, you know what I really think?",think?
"If this is your idea of sympathetic interest in my problems, I'll take brutal indifference.",indifference.
I do think all psychotherapy is bullshit. But just because I think it's bullshit doesn't mean I don't know something about it.,it.
Aren't you the one that thinks all psychotherapy is bullshit?,bullshit?
Positive self-image problem all over again ... You are who you decide you are unless you're the type that lets assholes decide for you.,you.
"Then I sit back and I think, I mean, who's to say I'm not a dumb bitch.  I work in a bar, right? I can't read a list of my academic credentials to every booze-hound that comes in the place... You are what you do...",do...
I guess he got the message...,message...
Irrigated his face with the shot of J and B I'd just poured him. Then I tried to deck the sucker.,sucker.
What'd you do?,do?
A guy in the bar called me a dumb bitch today.,today.
What's wrong with that?,that?
I'm all wet.,wet.
"That's the way I see it, too.",too.
You're hopeless.,hopeless.
"Hey, you're right.",right.
